Order_ID,Ship_Mode,Ship_Date,Ship_id
23488,DELIVERY TRUCK,2009-01-07,185
23584,DELIVERY TRUCK,2012-03-14,186
24007,REGULAR AIR,2010-09-02,187
24007,REGULAR AIR,2010-08-30,188
24038,REGULAR AIR,2011-06-22,189
24097,REGULAR AIR,2010-08-04,190
24097,REGULAR AIR,2010-08-06,191
24128,REGULAR AIR,2010-11-25,192
24294,DELIVERY TRUCK,2009-08-03,193
24387,REGULAR AIR,2011-08-11,194
24387,DELIVERY TRUCK,2011-08-10,195
24515,DELIVERY TRUCK,2010-05-08,196
24743,DELIVERY TRUCK,2012-07-05,197
24743,REGULAR AIR,2012-07-03,198
24871,REGULAR AIR,2011-03-24,199
25318,EXPRESS AIR,2011-11-21,200
25377,DELIVERY TRUCK,2012-12-03,201
25634,REGULAR AIR,2010-08-01,202
25634,EXPRESS AIR,2010-07-30,203
25733,REGULAR AIR,2012-05-17,204
25767,REGULAR AIR,2012-03-03,205
25767,REGULAR AIR,2012-03-04,206
26023,REGULAR AIR,2010-08-21,207
26051,DELIVERY TRUCK,2010-06-29,208
26051,REGULAR AIR,2010-06-28,209
26116,REGULAR AIR,2012-10-30,210
26182,DELIVERY TRUCK,2010-01-19,211
26272,EXPRESS AIR,2012-07-08,212
26370,REGULAR AIR,2011-08-10,213
26370,EXPRESS AIR,2011-08-10,214
26499,REGULAR AIR,2010-02-22,215
26531,REGULAR AIR,2011-06-22,216
26567,REGULAR AIR,2009-09-04,217
26567,EXPRESS AIR,2009-09-07,218
26567,REGULAR AIR,2009-09-05,219
26854,REGULAR AIR,2009-06-22,220
27109,REGULAR AIR,2012-02-10,221
27111,REGULAR AIR,2009-03-14,222
27111,REGULAR AIR,2009-03-12,223
27111,EXPRESS AIR,2009-03-11,224
27264,REGULAR AIR,2011-06-06,225
27392,REGULAR AIR,2012-03-11,226
27553,DELIVERY TRUCK,2011-08-14,227
27553,REGULAR AIR,2011-08-14,228
27555,REGULAR AIR,2009-09-03,229
27680,REGULAR AIR,2010-01-27,230
27778,REGULAR AIR,2011-09-04,231
27778,DELIVERY TRUCK,2011-09-04,232
27909,REGULAR AIR,2012-02-09,233
27909,REGULAR AIR,2012-02-10,234
28003,REGULAR AIR,2011-03-21,235
28035,REGULAR AIR,2011-05-10,236
28135,REGULAR AIR,2009-09-27,237
28135,REGULAR AIR,2009-09-25,238
28165,REGULAR AIR,2012-07-11,239
28289,REGULAR AIR,2010-01-15,240
28486,REGULAR AIR,2009-08-27,241
28675,REGULAR AIR,2009-10-09,242
28870,REGULAR AIR,2011-11-13,243
28871,REGULAR AIR,2012-04-15,244
29030,REGULAR AIR,2012-01-03,245
29095,REGULAR AIR,2011-03-09,246
29287,REGULAR AIR,2009-07-04,247
29287,DELIVERY TRUCK,2009-07-04,248
29510,DELIVERY TRUCK,2011-04-17,249
29795,REGULAR AIR,2011-11-26,250
29795,DELIVERY TRUCK,2011-11-26,251
29861,REGULAR AIR,2012-04-26,252
30658,REGULAR AIR,2011-03-27,253
30658,REGULAR AIR,2011-03-28,254
30947,REGULAR AIR,2010-07-18,255
31077,REGULAR AIR,2010-10-25,256
31111,REGULAR AIR,2009-08-26,257
31169,REGULAR AIR,2011-06-13,258
31270,DELIVERY TRUCK,2012-11-24,259
31270,DELIVERY TRUCK,2012-11-25,260
31270,REGULAR AIR,2012-11-25,261
31364,REGULAR AIR,2009-05-01,262
31393,REGULAR AIR,2012-05-12,263
31393,REGULAR AIR,2012-05-13,264
31492,REGULAR AIR,2010-10-17,265
31492,EXPRESS AIR,2010-10-18,266
31492,REGULAR AIR,2010-10-16,267
31558,REGULAR AIR,2011-07-28,268
31558,REGULAR AIR,2011-07-23,269
31618,REGULAR AIR,2011-07-11,270
31684,REGULAR AIR,2012-09-19,271
31684,EXPRESS AIR,2012-09-18,272
31781,REGULAR AIR,2009-01-17,273
32193,EXPRESS AIR,2010-10-22,274
32193,REGULAR AIR,2010-10-25,275
32229,REGULAR AIR,2010-08-30,276
32229,REGULAR AIR,2010-08-31,277
32743,REGULAR AIR,2010-05-09,278
32806,REGULAR AIR,2011-06-22,279
33123,DELIVERY TRUCK,2010-11-26,280
33159,REGULAR AIR,2012-04-29,281
33186,REGULAR AIR,2012-08-30,282
33377,REGULAR AIR,2011-08-02,283
33377,REGULAR AIR,2011-08-01,284
33444,REGULAR AIR,2012-10-07,285
33444,REGULAR AIR,2012-10-08,286
33703,REGULAR AIR,2010-02-07,287
33703,EXPRESS AIR,2010-02-08,288
33734,REGULAR AIR,2011-10-18,289
33888,REGULAR AIR,2009-08-23,290
33888,REGULAR AIR,2009-08-21,291
33888,DELIVERY TRUCK,2009-08-22,292
33894,REGULAR AIR,2010-06-17,293
33894,REGULAR AIR,2010-06-15,294
33894,REGULAR AIR,2010-06-16,295
33894,EXPRESS AIR,2010-06-16,296
33922,DELIVERY TRUCK,2010-02-27,297
34177,REGULAR AIR,2009-08-18,298
34177,REGULAR AIR,2009-08-16,299
34215,REGULAR AIR,2011-05-15,300
34246,REGULAR AIR,2010-10-08,301
34246,REGULAR AIR,2010-10-09,302
34631,REGULAR AIR,2009-10-24,303
34631,REGULAR AIR,2009-10-25,304
35047,REGULAR AIR,2010-06-11,305
35266,REGULAR AIR,2011-01-10,306
35266,DELIVERY TRUCK,2011-01-12,307
35847,EXPRESS AIR,2009-01-30,308
36001,REGULAR AIR,2011-03-30,309
36001,REGULAR AIR,2011-04-01,310
36134,REGULAR AIR,2010-11-22,311
36135,REGULAR AIR,2011-05-31,312
36644,REGULAR AIR,2012-05-14,313
36646,EXPRESS AIR,2010-06-09,314
36707,REGULAR AIR,2009-11-30,315
37253,REGULAR AIR,2012-09-01,316
37541,REGULAR AIR,2010-02-28,317
37541,EXPRESS AIR,2010-02-27,318
37634,REGULAR AIR,2012-05-22,319
37793,REGULAR AIR,2009-11-09,320
37860,REGULAR AIR,2010-08-29,321
38884,REGULAR AIR,2012-08-18,322
38884,DELIVERY TRUCK,2012-08-18,323
39364,REGULAR AIR,2012-11-10,324
39364,REGULAR AIR,2012-11-11,325
39457,DELIVERY TRUCK,2011-06-02,326
39683,REGULAR AIR,2011-08-13,327
39683,REGULAR AIR,2011-08-11,328
39683,REGULAR AIR,2011-08-12,329
39846,REGULAR AIR,2009-03-06,330
40036,REGULAR AIR,2010-06-08,331
40067,REGULAR AIR,2012-02-19,332
40132,DELIVERY TRUCK,2012-02-29,333
40132,REGULAR AIR,2012-03-02,334
40160,REGULAR AIR,2009-10-16,335
40518,REGULAR AIR,2009-03-14,336
40804,DELIVERY TRUCK,2010-03-14,337
40902,REGULAR AIR,2009-07-09,338
41063,REGULAR AIR,2012-11-23,339
41063,REGULAR AIR,2012-11-28,340
41153,REGULAR AIR,2009-03-03,341
41184,REGULAR AIR,2011-09-24,342
41409,REGULAR AIR,2011-07-23,343
41696,EXPRESS AIR,2009-07-15,344
42209,REGULAR AIR,2010-03-29,345
42209,REGULAR AIR,2010-04-01,346
42561,EXPRESS AIR,2010-02-08,347
42564,DELIVERY TRUCK,2012-09-19,348
42695,REGULAR AIR,2010-12-24,349
42981,REGULAR AIR,2009-06-01,350
43109,REGULAR AIR,2012-12-22,351
43203,REGULAR AIR,2012-02-16,352
43236,REGULAR AIR,2010-07-05,353
43267,EXPRESS AIR,2011-05-18,354
43329,REGULAR AIR,2010-03-10,355
43330,REGULAR AIR,2009-04-28,356
43364,REGULAR AIR,2012-04-10,357
43392,REGULAR AIR,2011-01-02,358
43781,REGULAR AIR,2010-02-02,359
43781,EXPRESS AIR,2010-02-03,360
44071,REGULAR AIR,2012-04-16,361
44519,REGULAR AIR,2010-05-20,362
44519,DELIVERY TRUCK,2010-05-20,363
44708,REGULAR AIR,2009-07-28,364
44772,EXPRESS AIR,2009-04-02,365
44839,EXPRESS AIR,2012-06-13,366
45217,REGULAR AIR,2010-09-02,367
45440,DELIVERY TRUCK,2012-08-11,368
45766,REGULAR AIR,2010-05-09,369
45766,REGULAR AIR,2010-05-08,370
45861,REGULAR AIR,2011-08-25,371
45957,REGULAR AIR,2010-09-23,372
46912,REGULAR AIR,2012-06-30,373
46980,REGULAR AIR,2011-01-17,374
47460,REGULAR AIR,2010-10-12,375
47462,REGULAR AIR,2011-06-11,376
47620,REGULAR AIR,2012-07-05,377
47749,REGULAR AIR,2010-03-16,378
47873,REGULAR AIR,2010-11-15,379
47943,REGULAR AIR,2009-11-14,380
47943,REGULAR AIR,2009-11-15,381
48101,REGULAR AIR,2011-09-14,382
48295,REGULAR AIR,2009-11-25,383
48839,REGULAR AIR,2010-07-12,384
49154,REGULAR AIR,2009-03-07,385
49921,DELIVERY TRUCK,2011-02-21,386
49921,REGULAR AIR,2011-02-19,387
49952,EXPRESS AIR,2011-11-20,388
50117,REGULAR AIR,2011-06-05,389
50278,REGULAR AIR,2010-05-25,390
50278,DELIVERY TRUCK,2010-05-27,391
50374,REGULAR AIR,2009-05-31,392
50565,REGULAR AIR,2012-08-30,393
50688,REGULAR AIR,2011-12-17,394
50754,REGULAR AIR,2009-12-10,395
50914,REGULAR AIR,2012-07-03,396
51169,REGULAR AIR,2010-12-26,397
51938,REGULAR AIR,2011-05-21,398
51970,DELIVERY TRUCK,2012-01-13,399
51971,REGULAR AIR,2011-10-05,400
52193,EXPRESS AIR,2010-03-07,401
52193,REGULAR AIR,2010-03-07,402
52321,REGULAR AIR,2011-11-07,403
52321,DELIVERY TRUCK,2011-11-05,404
52386,DELIVERY TRUCK,2009-01-07,405
52807,REGULAR AIR,2010-11-27,406
52929,EXPRESS AIR,2011-04-09,407
52929,REGULAR AIR,2011-04-09,408
52964,REGULAR AIR,2010-04-01,409
53156,REGULAR AIR,2012-03-11,410
53511,REGULAR AIR,2009-02-22,411
53511,REGULAR AIR,2009-02-21,412
53797,DELIVERY TRUCK,2009-10-01,413
53990,REGULAR AIR,2012-11-02,414
54083,DELIVERY TRUCK,2011-07-23,415
54274,REGULAR AIR,2010-11-25,416
54276,REGULAR AIR,2010-02-07,417
54528,REGULAR AIR,2011-01-06,418
54567,REGULAR AIR,2009-08-04,419
54628,REGULAR AIR,2010-06-06,420
55298,DELIVERY TRUCK,2009-08-03,421
55363,REGULAR AIR,2010-12-30,422
55366,REGULAR AIR,2012-10-11,423
55715,EXPRESS AIR,2011-04-04,424
55875,REGULAR AIR,2009-11-28,425
55875,REGULAR AIR,2009-11-25,426
56453,DELIVERY TRUCK,2012-04-12,427
57127,REGULAR AIR,2010-02-18,428
57344,REGULAR AIR,2010-09-26,429
57509,EXPRESS AIR,2009-02-21,430
57509,DELIVERY TRUCK,2009-02-26,431
57600,REGULAR AIR,2012-11-13,432
58055,REGULAR AIR,2011-10-29,433
58144,REGULAR AIR,2009-12-23,434
58150,REGULAR AIR,2010-05-07,435
58340,REGULAR AIR,2011-01-09,436
58368,REGULAR AIR,2012-07-11,437
58368,REGULAR AIR,2012-07-10,438
58368,EXPRESS AIR,2012-07-09,439
58434,REGULAR AIR,2009-03-10,440
58626,DELIVERY TRUCK,2012-01-01,441
58626,DELIVERY TRUCK,2012-01-02,442
58626,REGULAR AIR,2011-12-31,443
58688,REGULAR AIR,2009-03-31,444
59045,REGULAR AIR,2011-02-15,445
59047,REGULAR AIR,2011-01-28,446
59047,REGULAR AIR,2011-01-30,447
59202,REGULAR AIR,2012-09-08,448
59202,REGULAR AIR,2012-09-09,449
59207,DELIVERY TRUCK,2009-05-18,450
59234,REGULAR AIR,2012-08-02,451
59234,DELIVERY TRUCK,2012-08-03,452
59395,EXPRESS AIR,2012-04-24,453
59558,REGULAR AIR,2012-07-19,454
59585,REGULAR AIR,2012-09-23,455
59651,REGULAR AIR,2010-05-22,456
645,REGULAR AIR,2009-12-04,457
769,DELIVERY TRUCK,2010-06-02,458
773,REGULAR AIR,2010-09-26,459
1187,REGULAR AIR,2012-11-20,460
2339,REGULAR AIR,2010-12-16,461
3521,REGULAR AIR,2012-10-27,462
4007,REGULAR AIR,2010-06-18,463
4416,REGULAR AIR,2012-07-03,464
4454,REGULAR AIR,2009-02-06,465
5153,EXPRESS AIR,2011-08-27,466
5446,REGULAR AIR,2009-06-27,467
8131,REGULAR AIR,2010-05-03,468
8994,REGULAR AIR,2009-04-09,469
9027,REGULAR AIR,2011-09-11,470
9216,DELIVERY TRUCK,2011-04-16,471
9537,DELIVERY TRUCK,2011-02-15,472
9537,REGULAR AIR,2011-02-15,473
9574,REGULAR AIR,2011-07-31,474
10435,REGULAR AIR,2010-08-12,475
10435,REGULAR AIR,2010-08-11,476
10851,REGULAR AIR,2009-04-06,477
10852,REGULAR AIR,2010-10-28,478
10852,DELIVERY TRUCK,2010-10-27,479
11269,EXPRESS AIR,2012-05-30,480
11269,REGULAR AIR,2012-06-02,481
11362,REGULAR AIR,2012-09-12,482
11362,REGULAR AIR,2012-09-15,483
11362,REGULAR AIR,2012-09-14,484
11968,REGULAR AIR,2011-03-16,485
12293,REGULAR AIR,2011-06-19,486
12773,REGULAR AIR,2011-01-13,487
12773,REGULAR AIR,2011-01-20,488
12773,REGULAR AIR,2011-01-16,489
12934,REGULAR AIR,2009-03-06,490
12934,EXPRESS AIR,2009-03-06,491
13120,REGULAR AIR,2009-12-21,492
13120,REGULAR AIR,2009-12-14,493
13604,REGULAR AIR,2009-02-04,494
13604,REGULAR AIR,2009-02-05,495
13927,EXPRESS AIR,2009-09-02,496
15044,REGULAR AIR,2012-03-10,497
15139,DELIVERY TRUCK,2009-11-21,498
15139,DELIVERY TRUCK,2009-11-19,499
15463,EXPRESS AIR,2010-07-26,500
15618,REGULAR AIR,2010-08-07,501
15618,REGULAR AIR,2010-08-06,502
16100,REGULAR AIR,2011-03-08,503
16320,REGULAR AIR,2011-10-22,504
16419,REGULAR AIR,2009-08-05,505
17090,DELIVERY TRUCK,2010-04-30,506
17090,DELIVERY TRUCK,2010-05-03,507
17315,REGULAR AIR,2009-04-26,508
17376,REGULAR AIR,2011-12-06,509
18210,REGULAR AIR,2010-08-07,510
18273,REGULAR AIR,2011-09-17,511
18788,REGULAR AIR,2009-10-03,512
19042,REGULAR AIR,2009-03-02,513
19073,REGULAR AIR,2009-06-25,514
19073,EXPRESS AIR,2009-06-26,515
19365,REGULAR AIR,2011-01-17,516
19617,REGULAR AIR,2012-01-22,517
19617,REGULAR AIR,2012-01-20,518
20033,REGULAR AIR,2010-05-23,519
21223,DELIVERY TRUCK,2012-03-16,520
21223,REGULAR AIR,2012-03-16,521
21378,REGULAR AIR,2011-08-08,522
21378,REGULAR AIR,2011-08-10,523
21542,REGULAR AIR,2011-05-22,524
21542,DELIVERY TRUCK,2011-05-22,525
22656,EXPRESS AIR,2010-12-24,526
22695,REGULAR AIR,2009-07-08,527
23076,REGULAR AIR,2009-05-28,528
24038,EXPRESS AIR,2011-06-22,529
24067,REGULAR AIR,2012-08-23,530
24067,EXPRESS AIR,2012-08-23,531
24388,DELIVERY TRUCK,2011-01-27,532
24451,DELIVERY TRUCK,2012-12-04,533
24806,REGULAR AIR,2010-09-08,534
24965,EXPRESS AIR,2011-04-03,535
24965,REGULAR AIR,2011-03-29,536
25154,REGULAR AIR,2010-08-21,537
25315,EXPRESS AIR,2010-12-02,538
25315,REGULAR AIR,2010-12-02,539
25315,DELIVERY TRUCK,2010-12-04,540
25376,REGULAR AIR,2011-03-27,541
26240,REGULAR AIR,2009-12-22,542
26240,REGULAR AIR,2009-12-20,543
26791,REGULAR AIR,2011-05-06,544
28836,REGULAR AIR,2010-10-25,545
28836,REGULAR AIR,2010-10-26,546
28995,REGULAR AIR,2010-05-13,547
29121,REGULAR AIR,2010-04-13,548
29319,REGULAR AIR,2009-01-26,549
29319,EXPRESS AIR,2009-01-26,550
29382,REGULAR AIR,2010-11-20,551
29382,EXPRESS AIR,2010-11-19,552
29445,DELIVERY TRUCK,2010-10-01,553
29762,REGULAR AIR,2010-08-05,554
30048,DELIVERY TRUCK,2011-06-15,555
30243,REGULAR AIR,2010-05-07,556
30372,REGULAR AIR,2010-09-01,557
30499,REGULAR AIR,2012-11-01,558
32199,REGULAR AIR,2009-07-16,559
32199,REGULAR AIR,2009-07-17,560
32327,DELIVERY TRUCK,2012-08-14,561
32676,REGULAR AIR,2009-02-04,562
32835,REGULAR AIR,2012-07-09,563
32869,REGULAR AIR,2009-03-28,564
33763,REGULAR AIR,2010-09-25,565
34048,REGULAR AIR,2011-03-30,566
34275,REGULAR AIR,2009-07-03,567
34438,REGULAR AIR,2010-12-12,568
34880,REGULAR AIR,2009-09-17,569
34978,REGULAR AIR,2011-02-06,570
35141,REGULAR AIR,2010-09-12,571
35300,REGULAR AIR,2010-03-03,572
35300,REGULAR AIR,2010-03-05,573
35558,REGULAR AIR,2009-09-17,574
36293,REGULAR AIR,2011-01-10,575
36293,EXPRESS AIR,2011-01-14,576
36516,REGULAR AIR,2011-07-28,577
36677,REGULAR AIR,2009-12-25,578
37185,REGULAR AIR,2012-11-01,579
37888,REGULAR AIR,2009-12-24,580
38310,REGULAR AIR,2012-04-17,581
40327,REGULAR AIR,2011-05-15,582
40480,EXPRESS AIR,2011-12-07,583
40480,REGULAR AIR,2011-12-09,584
40800,REGULAR AIR,2010-12-06,585
40835,REGULAR AIR,2009-11-26,586
40835,REGULAR AIR,2009-11-25,587
40871,REGULAR AIR,2011-09-15,588
40871,DELIVERY TRUCK,2011-09-15,589
41570,REGULAR AIR,2010-12-05,590
41991,DELIVERY TRUCK,2011-12-23,591
41991,REGULAR AIR,2011-12-22,592
42400,REGULAR AIR,2012-08-11,593
42400,REGULAR AIR,2012-08-14,594
42754,REGULAR AIR,2010-08-25,595
42918,REGULAR AIR,2011-05-24,596
42944,DELIVERY TRUCK,2012-11-19,597
44037,REGULAR AIR,2012-06-30,598
44387,EXPRESS AIR,2009-02-09,599
44387,REGULAR AIR,2009-02-08,600
44576,DELIVERY TRUCK,2009-12-26,601
45601,REGULAR AIR,2011-09-28,602
45606,REGULAR AIR,2011-09-24,603
45606,REGULAR AIR,2011-09-23,604
46119,REGULAR AIR,2009-02-17,605
46119,DELIVERY TRUCK,2009-02-16,606
46756,REGULAR AIR,2009-10-13,607
47714,REGULAR AIR,2011-03-11,608
47846,REGULAR AIR,2012-08-13,609
47846,REGULAR AIR,2012-08-12,610
47876,REGULAR AIR,2009-12-27,611
48067,EXPRESS AIR,2012-07-01,612
48067,EXPRESS AIR,2012-06-29,613
48199,REGULAR AIR,2009-01-21,614
49029,EXPRESS AIR,2012-05-22,615
49216,REGULAR AIR,2009-03-19,616
49216,DELIVERY TRUCK,2009-03-19,617
49216,EXPRESS AIR,2009-03-20,618
49990,DELIVERY TRUCK,2009-09-05,619
50081,DELIVERY TRUCK,2009-11-04,620
50404,REGULAR AIR,2011-03-27,621
50404,REGULAR AIR,2011-03-28,622
50784,REGULAR AIR,2012-02-11,623
50850,REGULAR AIR,2009-05-08,624
50850,DELIVERY TRUCK,2009-05-07,625
51075,EXPRESS AIR,2010-11-25,626
51461,REGULAR AIR,2011-02-12,627
51558,REGULAR AIR,2010-03-29,628
51558,DELIVERY TRUCK,2010-03-29,629
52130,REGULAR AIR,2012-09-07,630
52482,EXPRESS AIR,2011-01-31,631
52482,REGULAR AIR,2011-02-02,632
53410,REGULAR AIR,2009-08-09,633
53477,DELIVERY TRUCK,2012-05-07,634
53477,DELIVERY TRUCK,2012-05-06,635
53477,REGULAR AIR,2012-05-07,636
53508,REGULAR AIR,2009-11-12,637
53508,REGULAR AIR,2009-11-10,638
53703,REGULAR AIR,2010-06-15,639
54115,REGULAR AIR,2012-01-12,640
54437,REGULAR AIR,2010-12-19,641
54501,REGULAR AIR,2012-11-30,642
54501,REGULAR AIR,2012-12-01,643
54753,REGULAR AIR,2009-04-19,644
55138,REGULAR AIR,2009-09-25,645
55271,DELIVERY TRUCK,2011-03-13,646
55331,REGULAR AIR,2010-12-15,647
