Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Product_Base_Margin
1106,8,1527,419,30946,0.08,49,0.71
1107,1,4201,428,481367,0.03,48,0.79
1107,14,4200,428,224905,0.02,5,0.52
1107,2,1528,428,87675,0.02,3,0.56
1108,15,1529,411,116828,0.02,22,0.56
1109,13,1531,429,1031963,0.03,1,0.56
1109,6,1530,429,61435,0.02,31,0.37
1109,13,1532,429,17299,0.05,31,0.38
111,8,152,65,63356,0.09,31,0.78
1110,1,1534,430,542358,0.01,42,0.59
1110,3,1533,430,193525,0.04,29,0.38
1110,13,1533,430,2785,0.01,13,0.59
1111,4,1535,421,11967915,0.07,26,0.55
1112,16,1536,421,32597,0.02,46,0.58
1112,3,1537,421,4965,0.02,10,0.35
1113,4,1538,411,13753765,0.03,45,0.39
1114,17,1539,429,6421,0.0,42,0.39
1115,11,1541,419,2340504,0.04,12,0.61
1115,13,1540,419,94586,0.01,47,0.59
1116,13,1542,422,9439,0.07,33,0.56
1117,9,1543,414,24959,0.06,32,0.36
1118,13,1544,417,11036,0.05,39,0.54
1119,3,1545,417,5898,0.0,9,0.35
112,6,153,77,6444,0.04,27,0.39
1120,1,1546,416,145504,0.06,9,0.66
1121,3,1547,428,1104142,0.07,30,0.38
1122,4,1549,412,48040385,0.08,46,0.59
1122,7,1548,412,7355,0.09,32,0.52
1123,6,1550,431,7606,0.02,14,0.04
1124,11,1551,431,1805668,0.0,50,
1125,3,1552,432,37269,0.01,42,0.04
1125,6,5194,1312,18582,0.05,44,0.36
1125,2,5192,1312,18462,0.04,26,0.41
1125,12,5193,1312,3203,0.09,11,0.37
1126,8,1553,433,655,0.08,11,0.75
1127,5,1554,434,1121974,0.05,1,0.41
1127,3,1554,434,13685,0.01,14,0.36
1128,4,3481,928,20518235,0.01,36,0.58
1128,5,1556,435,19641,0.01,9,0.06
1128,6,1555,435,18667,0.02,9,0.37
1128,8,1555,435,18579,0.02,5,0.76
1129,3,1557,411,48073,0.01,12,0.36
1129,6,1558,411,159,0.01,25,0.37
113,15,154,42,121198,0.01,7,0.59
1130,9,1559,428,17152,0.01,32,0.38
1131,5,1560,421,8401,0.06,16,0.47
1132,6,1561,412,44517,0.02,23,0.37
1133,1,1562,421,23294,0.08,37,0.73
1134,2,1563,431,10605,0.02,9,0.42
1134,9,1564,431,6981,0.01,45,0.38
1135,5,1565,416,137049,0.08,40,0.55
1136,5,1566,436,11012021,0.09,3,0.43
1136,3,1566,436,3944,0.0,5,0.35
1137,5,1568,416,37713,0.02,38,0.48
1137,3,1567,416,19551,0.03,26,0.38
1138,13,1570,411,35042,0.03,28,0.06
1138,2,1569,411,17045,0.09,4,0.56
1139,8,1571,422,6966,0.07,40,0.51
114,15,155,78,331608,0.08,27,0.78
1140,1,1572,433,24964,0.08,23,0.59
1140,17,1572,433,1124,0.01,6,0.04
1141,17,1573,416,125548,0.06,11,0.04
1141,1,1574,416,41156,0.09,46,0.57
1142,2,1575,437,4646,0.01,3,0.52
1143,5,1576,438,30359,0.01,32,0.55
1143,6,1577,438,1916,0.04,36,0.36
1144,3,1578,437,31759,0.06,36,0.38
1145,12,1579,439,4837,0.02,16,0.36
1146,4,1580,438,64777395,0.01,37,0.58
1146,5,1580,438,100574,0.01,47,0.41
1147,5,1581,439,24485,0.06,14,0.47
1148,5,1582,440,31635,0.06,21,0.46
1149,6,1583,440,10937,0.07,11,0.38
115,4,156,79,17798915,0.09,41,0.08
115,1,156,79,23428,0.09,8,0.58
115,6,156,79,20708,0.09,48,0.04
1150,1,1584,441,620616,0.03,50,0.59
1151,4,1585,442,1637457,0.09,31,0.58
1151,3,1585,442,153837,0.03,50,0.04
1152,9,1586,443,155453,0.0,16,0.04
1153,6,1588,444,206342,0.03,38,0.36
1153,3,1587,444,35695,0.08,1,0.38
1153,8,1588,444,11286,0.04,17,0.66
1154,16,1590,444,48364,0.01,45,0.57
1154,8,1589,444,11682,0.02,24,0.72
1155,17,1592,440,70194,0.01,29,0.38
1155,8,1591,440,3364,0.07,4,0.77
1156,3,1594,444,90664,0.07,42,0.38
1156,8,1595,444,88296,0.06,45,0.68
1156,5,1593,444,12688,0.05,33,0.44
1156,4,1596,444,5814,0.01,3,0.58
1157,8,1597,444,153833,0.03,39,0.54
1157,6,1598,444,14746,0.06,39,0.35
1158,4,1600,445,849031,0.07,50,0.81
1158,15,1599,445,47388,0.01,4,0.71
1159,3,5785,1421,1614761,0.02,38,0.35
1159,10,1601,438,104263,0.02,4,0.56
116,4,159,80,52474835,0.0,49,0.57
116,8,158,80,43605,0.09,15,0.75
116,3,157,80,11412,0.05,30,0.38
1160,3,1602,444,27073,0.01,32,0.35
1161,3,1603,446,25111,0.03,30,0.35
1162,9,1604,447,6444,0.0,21,0.36
1163,13,1605,442,7796,0.05,16,0.52
1164,2,1606,445,949292,0.05,29,0.57
1165,9,1607,444,4564,0.08,2,0.38
1166,4,1609,440,33753075,0.01,34,0.57
1166,1,1608,440,295414,0.04,21,
1167,4,1611,444,7546555,0.01,8,0.57
1167,6,1610,444,8556,0.03,15,0.04
1168,6,1612,442,10821,0.08,19,0.04
1169,5,1614,443,38815,0.0,18,0.57
1169,8,1613,443,3631,0.04,1,0.51
117,4,160,81,173417,0.0,9,0.37
1170,5,1615,448,23127,0.03,11,0.49
1171,1,1616,448,15033,0.08,15,0.06
1172,1,1618,449,52928,0.01,45,0.58
1172,6,1617,449,24018,0.06,40,0.36
1173,3,1619,449,88745,0.01,47,0.35
1173,6,1619,449,35597,0.03,7,0.37
1174,15,1620,444,94993,0.01,44,0.59
1175,4,1621,447,2544985,0.07,36,0.85
1175,12,4734,1245,7002,0.07,10,0.38
1176,4,1622,445,728025,0.04,13,0.55
1177,6,1623,450,7925,0.0,9,0.36
1178,4,1624,451,1495184,0.0,26,0.56
1179,12,1625,444,2384,0.02,7,0.37
118,3,161,63,2379293,0.0,18,0.35
1180,15,1626,445,70937,0.01,8,0.66
1180,16,1627,445,5976,0.01,19,0.84
1181,4,1629,444,13188685,0.03,24,0.59
1181,15,1628,444,754865,0.03,45,0.62
1182,10,1630,449,451486,0.09,23,0.75
1182,13,1631,449,7914,0.09,30,0.59
1183,1,1633,451,156269,0.0,43,0.57
1183,6,1632,451,11257,0.08,17,0.37
1184,1,1634,452,197466,0.06,32,0.08
1184,11,1635,452,7344,0.0,3,0.76
1185,12,1636,451,12112021,0.02,3,0.38
1186,5,1637,453,266792,0.01,33,0.43
1186,11,1638,453,223615,0.05,15,0.69
1187,1,5896,1407,427335,0.07,42,0.82
1187,15,1639,454,416504,0.0,45,0.61
1187,5,5895,1407,108758,0.01,27,0.53
1188,6,1640,451,11733,0.07,17,0.36
1189,6,1641,452,4961,0.0,1,0.04
119,2,162,56,25612,0.03,21,0.58
1190,3,1643,444,534713,0.08,44,0.37
1190,2,1642,444,2145,0.01,1,0.52
1191,11,7456,1787,1146992,0.07,47,0.65
1191,10,1644,451,458141,0.04,36,0.69
1191,5,7455,1787,261289,0.04,25,0.79
1192,5,1645,455,43055,0.0,35,0.55
1193,3,1646,443,19136,0.05,37,0.38
1194,13,1647,456,657,0.01,11,0.49
1195,3,1648,456,12733,0.02,22,0.38
1195,3,1649,456,9901,0.03,24,0.37
1196,6,1650,457,2832,0.09,5,0.36
1197,8,1651,458,21375,0.03,42,0.79
1198,15,1652,458,754714,0.03,24,0.55
1198,13,1653,458,31198,0.09,15,0.59
1198,5,1652,458,22432,0.08,2,0.69
1199,13,1654,458,1449,0.09,3,0.56
12,9,15,11,24826,0.07,16,0.04
120,1,163,82,387,0.01,30,0.57
1200,13,3602,456,186302,0.03,41,0.58
1200,13,1657,456,10087,0.09,36,0.58
1200,7,3603,456,5589,0.06,50,0.38
1201,2,1658,460,947331,0.03,33,0.57
1202,4,3289,960,1419755,0.09,5,0.35
1202,8,1659,461,79608,0.05,39,0.68
1203,6,1662,458,17072021,0.06,3,0.04
1203,5,1661,458,41834,0.08,35,0.43
1203,3,1660,458,6998,0.06,12,0.39
1203,13,1662,458,4561,0.01,12,0.44
1204,6,1664,458,246123,0.06,46,0.37
1204,12,1663,458,12933,0.04,28,0.39
1205,1,1665,459,829529,0.08,48,0.55
1206,4,1666,458,6477459,0.05,43,0.57
1207,2,7273,1765,840708,0.04,39,0.58
1207,5,1667,462,29545,0.03,31,0.57
1208,12,1668,458,1624,0.01,5,0.36
1209,4,1670,463,201535,0.09,12,0.81
1209,8,1669,463,2865,0.02,16,0.51
121,8,164,45,114345,0.06,31,0.51
1210,6,1671,459,8168,0.08,13,0.36
1211,11,1673,458,698287,0.05,32,0.68
1211,6,1672,458,14716,0.01,21,0.37
1211,13,1672,458,5007,0.03,19,0.57
1212,3,1674,458,46459,0.07,17,0.38
1212,6,1675,458,31668,0.06,47,0.37
1213,6,1676,462,1729,0.0,23,0.39
1214,6,1677,464,3272,0.09,4,0.37
1215,2,1678,465,51793,0.06,46,0.05
1216,10,1679,466,244385,0.08,24,0.62
1217,3,1680,467,23343,0.03,36,0.04
1218,4,1682,468,1265497,0.01,13,0.59
1218,6,1682,468,1051968,0.02,1,0.39
1218,15,1681,468,941873,0.0,27,0.57
1218,13,1683,468,17459,0.08,42,0.56
1219,6,1684,468,5704,0.05,8,0.36
122,3,166,45,15267,0.04,11,0.04
122,17,165,45,4231,0.06,2,0.04
1220,17,1685,467,1153299,0.07,45,0.58
1220,6,1686,467,1461,0.06,18,0.35
1221,12,1687,464,150557,0.02,47,0.39
1222,6,1688,469,12638,0.08,33,0.37
1222,6,1689,469,331,0.06,4,0.36
1223,8,1690,470,28855,0.03,37,0.69
1224,6,1691,471,35796,0.06,29,0.38
1225,1,1692,472,58259,0.07,4,0.59
1226,4,1693,470,12974485,0.04,18,0.58
1227,5,1695,464,11003,0.06,5,0.49
1227,12,1694,464,7944,0.06,27,0.39
1228,17,1696,473,245141,0.07,50,0.37
1228,17,1697,473,85124,0.01,11,0.37
1229,15,1698,473,35056,0.03,26,
123,13,167,75,8261,0.08,49,0.59
1230,3,1699,465,9675,0.04,22,0.35
1231,5,1700,467,505189,0.02,47,0.65
1232,4,1702,471,8426135,0.01,29,0.82
1232,11,1701,471,30291,0.04,2,0.63
1233,12,1703,467,11797,0.01,44,0.36
1234,1,1706,466,274657,0.03,15,0.55
1234,15,1704,466,223776,0.01,12,0.58
1234,2,1706,466,28174,0.06,19,0.58
1234,9,1707,466,21735,0.0,23,0.38
1234,13,1705,466,2059,0.02,4,0.51
1235,5,1708,467,25677,0.04,4,0.64
1236,6,1709,468,15444,0.06,33,0.39
1237,2,1710,471,82291,0.09,17,0.57
1238,4,1711,473,1540285,0.05,50,0.36
1238,13,1711,473,8918,0.04,31,0.04
1239,3,1712,472,8723,0.09,14,0.37
124,15,168,83,78994,0.01,31,0.06
1240,5,1715,474,104839,0.06,46,0.51
1240,8,1713,474,18714,0.02,21,0.52
1240,8,1714,474,3857,0.0,12,0.79
1241,12,1716,467,4587,0.02,9,0.39
1242,4,1718,464,32687515,0.04,24,0.06
1242,3,1717,464,32191,0.06,22,0.39
1242,3,1718,464,13296,0.05,2,0.39
1243,1,1719,472,222734,0.09,20,
1244,5,1720,467,196521,0.0,24,0.43
1245,8,1721,466,20046,0.02,42,0.71
1246,8,1722,468,28112021,0.03,3,0.77
1246,13,1722,468,27062021,0.0,14,0.56
1247,3,1723,472,13272,0.05,14,0.36
1248,8,1724,471,40025,0.02,46,0.61
1249,3,1725,475,61171,0.02,18,0.37
125,6,169,84,43524,0.08,42,0.38
1250,3,7241,1761,11082021,0.09,1,0.04
1250,6,1726,473,13586,0.04,27,0.38
1251,5,1728,469,895846,0.02,41,0.59
1251,5,1727,469,420108,0.01,21,0.59
1251,17,1729,469,49137,0.0,33,0.56
1252,6,1731,465,17792,0.0,40,0.04
1252,5,1730,465,11963,0.03,22,0.51
1253,4,1732,464,15920415,0.0,27,0.59
1253,3,1732,464,23029,0.0,41,0.37
1254,6,1733,470,15013,0.09,13,0.38
1255,1,1735,464,36252,0.07,25,0.57
1255,6,1734,464,33889,0.07,6,0.36
1256,4,1736,469,607597,0.07,11,0.58
1257,4,1738,468,24632405,0.07,35,0.58
1257,6,1737,468,11778,0.09,32,0.37
1258,4,1739,472,22519135,0.04,41,0.55
1259,6,1740,466,104172,0.03,29,0.38
1259,5,1740,466,70544,0.04,48,0.46
126,4,171,85,5535625,0.08,33,0.83
126,3,170,85,4737,0.05,8,0.39
1260,9,1741,475,21188,0.01,14,0.38
1261,5,1742,472,103123,0.07,32,0.55
1262,6,1743,464,11657,0.07,23,0.36
1263,6,1745,476,27092021,0.02,5,0.04
1263,8,1744,476,332344,0.03,21,0.79
1264,11,1746,466,755661,0.08,18,0.67
1264,7,1747,466,4748,0.07,33,0.37
1265,14,1749,466,2405149,0.07,41,0.37
1265,10,1748,466,870408,0.05,10,0.62
1266,4,1750,477,1388628,0.03,24,0.56
1266,6,1750,477,2146,0.05,3,0.04
1267,17,1751,476,292083,0.02,24,0.36
1267,6,1752,476,2623,0.09,42,0.36
1268,5,3820,478,30864,0.03,15,0.56
1268,5,1753,478,18515,0.09,4,0.73
1268,3,1753,478,10372,0.02,17,0.39
1269,17,1754,465,662855,0.01,50,0.56
127,13,173,86,30483,0.01,47,0.47
127,13,172,86,5478,0.02,32,0.59
1270,3,1755,465,97587,0.04,33,0.04
1271,6,1756,466,1285,0.02,17,0.37
1272,15,1757,464,673992,0.01,35,0.69
1273,4,1759,469,3472675,0.06,20,0.83
1273,1,1758,469,27231,0.07,16,0.85
1274,7,1760,471,5072021,0.01,1,0.53
1275,6,1761,467,2623,0.0,3,0.37
1276,3,1762,472,3339,0.03,8,0.04
1277,4,1763,466,22551945,0.03,46,0.08
1277,5,1763,466,18713,0.09,9,0.47
1278,5,1764,467,7025,0.01,34,0.43
1279,6,1765,479,5903,0.04,11,0.38
128,17,174,87,1606685,0.07,31,0.37
1280,1,1766,477,98754,0.07,10,0.82
1280,7,6893,1683,22831,0.03,47,0.08
1281,10,1767,475,182304,0.09,27,0.06
1281,6,4169,475,67523,0.01,15,0.37
1282,8,1768,464,2566,0.0,6,0.67
1283,8,1770,464,130531,0.03,45,0.04
1283,8,1769,464,3942,0.08,19,0.55
1284,13,1771,480,23874,0.01,8,0.58
1285,4,1773,481,54885265,0.05,34,0.57
1285,12,1772,481,13481,0.01,46,0.37
1286,7,1774,481,5238,0.06,13,0.39
1287,17,1775,482,1455667,0.04,48,0.56
1288,5,1776,483,52297,0.04,48,0.51
1288,6,1777,483,19946,0.08,48,0.04
1289,3,1778,454,51374,0.02,32,0.38
1289,5,1779,454,368,0.0,4,0.56
129,13,175,88,6189,0.09,17,0.41
1290,9,1780,482,260953,0.0,27,0.04
1291,4,1781,484,1576223,0.05,29,0.57
1292,4,1783,454,53529345,0.09,33,0.57
1292,11,1782,454,812751,0.01,23,0.62
1293,17,1784,483,1771734,0.0,37,0.37
1294,6,1785,480,164647,0.05,33,0.38
1295,13,1786,484,26037,0.02,45,0.46
1296,6,1788,484,11554,0.04,24,0.36
1297,6,1790,485,26138,0.05,38,0.36
1297,6,1789,485,1668,0.03,23,0.04
1298,1,1792,480,43539,0.01,28,0.57
1298,13,1791,480,10339,0.05,20,0.52
1299,8,1793,480,2966,0.04,5,0.64
13,11,17,12,663784,0.25,11,0.68
13,10,16,12,446223,0.04,44,0.06
13,2,2477,599,51665,0.01,7,0.59
13,12,17,823,1151,0.02,23,0.36
130,4,176,89,16650395,0.02,35,0.59
130,3,3970,1064,37665,0.0,16,0.38
130,1,3971,1064,4006,0.07,6,0.68
1300,4,5695,1396,3373395,0.0,3,0.59
1300,13,1794,480,28043,0.01,25,0.55
1300,9,5695,1396,13011,0.01,18,0.36
1301,3,1795,485,51263,0.07,23,0.38
1302,15,1797,485,476002,0.0,15,0.56
1302,2,1796,485,8817,0.01,13,0.56
1303,3,1798,485,150266,0.07,27,0.38
1304,8,1799,486,381273,0.02,32,0.49
1305,4,1800,487,1118396,0.06,11,0.57
1305,13,1800,487,202975,0.06,47,0.58
1306,4,1801,488,12396315,0.0,16,0.85
1307,5,1802,489,3567,0.02,45,0.56
1308,10,1803,490,491369,0.02,39,0.75
1308,6,1804,490,46477,0.01,24,0.37
1309,16,1805,491,1732,0.01,18,0.56
131,5,177,78,104979,0.08,21,0.55
131,1,178,78,81718,0.01,16,0.59
1310,6,1806,491,12516,0.02,18,0.37
1311,3,1807,492,124652,0.01,50,0.39
1312,7,1808,493,13207,0.06,38,0.36
1313,8,1809,494,34136,0.09,41,0.61
1314,4,1810,495,1297304,0.0,15,0.56
1315,8,1811,496,204758,0.01,49,0.44
1315,5,1811,496,5661,0.02,1,0.57
1316,5,1812,497,30236,0.09,3,0.65
1317,2,1813,498,18644,0.0,45,0.59
1318,12,1814,499,10256,0.06,40,0.39
1318,7,1815,499,1587,0.01,3,0.39
1319,11,1817,500,5029216,0.02,29,0.77
1319,16,1816,500,3459,0.04,14,0.81
132,3,3976,1065,51537,0.04,20,0.39
132,5,179,67,46583,0.01,49,0.55
1320,10,1818,495,336314,0.01,14,0.59
1321,17,1819,486,1658713,0.08,7,0.57
1321,6,1820,486,50798,0.05,9,0.36
1322,7,1821,501,14297,0.01,31,0.85
1323,3,1822,502,17122021,0.03,4,0.38
1324,1,1823,503,818589,0.09,21,0.57
1325,6,1824,504,25972,0.07,27,0.39
1325,13,1825,504,5469,0.07,34,0.59
1326,5,1826,505,114335,0.04,38,0.42
1327,6,1827,506,39142,0.04,38,0.04
1328,5,1828,487,4904,0.02,6,0.56
1329,17,1829,503,373054,0.07,32,0.35
133,4,180,90,241706,0.0,13,0.81
1330,1,1831,503,71964,0.01,32,0.83
1330,3,1830,503,35255,0.09,29,0.35
1331,4,1832,486,3821039,0.05,38,0.57
1332,4,1833,503,2508673,0.03,23,0.58
1333,5,1834,492,488814,0.07,47,0.65
1333,6,1834,492,6387,0.09,27,0.38
1334,14,1835,507,88594,0.08,2,0.52
1335,5,1836,508,12053,0.01,10,0.55
1336,15,1837,509,526173,0.05,34,0.55
1337,6,1839,510,22521,0.06,38,0.36
1337,5,1838,510,7572,0.02,7,0.48
1338,16,1840,490,19429,0.09,29,0.58
1338,1,1841,490,16211,0.07,33,0.83
1339,3,1842,499,15647,0.01,20,0.39
134,11,181,138,669328,0.02,23,0.67
134,2,181,138,148281,0.03,24,0.59
134,4,181,91,27591,0.01,44,0.06
1340,8,1843,511,15595,0.01,38,0.54
1341,5,1844,512,100277,0.07,21,0.57
1341,5,1844,512,17814,0.01,17,0.46
1342,3,1845,513,45768,0.07,16,0.37
1343,6,1846,501,43477,0.02,37,0.36
1344,3,1847,514,21877,0.03,38,0.37
1345,6,1849,486,15135,0.07,42,0.35
1345,3,1848,486,6334,0.03,17,0.04
1346,5,1850,501,15344,0.05,12,0.43
1347,4,1852,514,11505345,0.01,15,0.39
1347,8,1851,514,433534,0.07,46,0.52
1348,13,1854,515,6897,0.02,24,0.59
1348,6,1853,515,1998,0.08,31,0.36
1349,10,1855,516,173594,0.01,13,0.65
1349,5,1856,516,3376,0.01,2,0.64
135,9,182,45,3083,0.04,2,0.36
1350,11,1858,517,957962,0.01,49,0.73
1350,10,1858,517,265712,0.05,19,0.77
1350,2,1857,517,234866,0.02,50,0.46
1351,15,1859,492,19249,0.02,1,0.62
1352,15,1860,516,121002,0.06,48,0.06
1353,8,1862,518,23195,0.03,24,0.43
1353,6,1861,518,11166,0.06,21,0.38
1354,16,1863,519,15615,0.08,10,0.56
