Order_Date,Order_Priority,Ord_id
2011-01-27,NOT SPECIFIED,94
2009-08-27,HIGH,95
2011-03-17,CRITICAL,96
2012-06-06,CRITICAL,97
2011-04-11,HIGH,98
2012-11-06,LOW,99
2012-05-16,HIGH,100
2012-04-09,NOT SPECIFIED,101
2012-08-05,MEDIUM,102
2009-07-22,NOT SPECIFIED,103
2010-05-09,NOT SPECIFIED,104
2009-02-18,NOT SPECIFIED,105
2012-06-27,HIGH,106
2010-09-30,MEDIUM,107
2010-04-15,CRITICAL,108
2011-09-14,NOT SPECIFIED,109
2010-09-21,HIGH,110
2010-08-17,NOT SPECIFIED,111
2009-09-16,LOW,112
2009-06-22,HIGH,113
2012-08-28,NOT SPECIFIED,114
2011-06-07,CRITICAL,115
2009-10-09,NOT SPECIFIED,116
2010-12-05,NOT SPECIFIED,117
2009-06-07,LOW,118
2009-07-27,CRITICAL,119
2011-09-05,LOW,120
2009-01-11,HIGH,121
2010-08-15,MEDIUM,122
2009-08-05,NOT SPECIFIED,123
2011-09-17,MEDIUM,124
2011-10-22,LOW,125
2009-11-14,MEDIUM,126
2010-07-03,MEDIUM,127
2009-01-30,LOW,128
2012-03-15,NOT SPECIFIED,129
2009-08-10,LOW,130
2010-04-01,LOW,131
2010-07-31,HIGH,132
2009-05-29,LOW,133
2010-10-11,HIGH,134
2010-05-18,HIGH,135
2011-02-08,CRITICAL,136
2010-12-07,CRITICAL,137
2009-01-06,CRITICAL,138
2012-03-12,CRITICAL,139
2010-08-26,LOW,140
2011-06-20,HIGH,141
2010-08-04,HIGH,142
2010-11-23,HIGH,143
2009-08-02,NOT SPECIFIED,144
2011-08-10,CRITICAL,145
2010-05-06,CRITICAL,146
2012-06-28,LOW,147
2011-03-23,MEDIUM,148
2011-11-19,CRITICAL,149
2012-11-26,LOW,150
2010-07-29,NOT SPECIFIED,151
2012-05-12,LOW,152
2012-03-03,HIGH,153
2010-08-20,HIGH,154
2010-06-27,NOT SPECIFIED,155
2012-10-29,CRITICAL,156
2010-01-16,NOT SPECIFIED,157
2012-06-29,LOW,158
2011-08-08,NOT SPECIFIED,159
2010-02-21,MEDIUM,160
2011-06-20,MEDIUM,161
2009-09-04,CRITICAL,162
2009-06-21,NOT SPECIFIED,163
2012-02-08,CRITICAL,164
2009-03-11,HIGH,165
2011-06-04,LOW,166
2012-03-02,LOW,167
2011-08-12,MEDIUM,168
2009-09-01,CRITICAL,169
2010-01-26,CRITICAL,170
2011-09-02,CRITICAL,171
2012-02-07,CRITICAL,172
2011-03-19,CRITICAL,173
2011-05-08,NOT SPECIFIED,174
2009-09-25,CRITICAL,175
2012-07-09,NOT SPECIFIED,176
2010-01-14,HIGH,177
2009-08-26,HIGH,178
2009-10-08,CRITICAL,179
2011-11-10,HIGH,180
2012-04-15,HIGH,181
2012-01-02,MEDIUM,182
2011-03-08,NOT SPECIFIED,183
2009-07-02,HIGH,184
2011-04-15,CRITICAL,185
2011-11-25,HIGH,186
2012-04-25,CRITICAL,187
2011-03-26,MEDIUM,188
2010-07-14,LOW,189
2010-10-23,NOT SPECIFIED,190
2009-08-24,NOT SPECIFIED,191
2011-06-09,LOW,192
2012-11-23,MEDIUM,193
2009-05-01,NOT SPECIFIED,194
2012-05-11,CRITICAL,195
2010-10-15,CRITICAL,196
2011-07-23,LOW,197
2011-07-11,CRITICAL,198
2012-09-16,CRITICAL,199
2009-01-16,MEDIUM,200
2010-10-20,LOW,201
2010-08-30,HIGH,202
2010-05-07,CRITICAL,203
2011-06-21,CRITICAL,204
2010-11-24,MEDIUM,205
2012-04-27,MEDIUM,206
2012-08-28,LOW,207
2011-07-31,HIGH,208
2012-10-06,MEDIUM,209
2010-02-06,NOT SPECIFIED,210
2011-10-17,NOT SPECIFIED,211
2009-08-20,NOT SPECIFIED,212
2010-06-14,CRITICAL,213
2010-02-27,NOT SPECIFIED,214
2009-08-15,HIGH,215
2011-05-14,HIGH,216
2010-10-07,CRITICAL,217
2009-10-23,NOT SPECIFIED,218
2010-06-09,MEDIUM,219
2011-01-10,NOT SPECIFIED,220
2009-01-30,CRITICAL,221
2011-03-28,LOW,222
2010-11-22,LOW,223
2011-05-30,NOT SPECIFIED,224
2012-05-13,HIGH,225
2010-06-08,MEDIUM,226
2009-11-29,MEDIUM,227
2012-09-01,HIGH,228
2010-02-26,MEDIUM,229
2012-05-21,MEDIUM,230
2009-11-08,NOT SPECIFIED,231
2010-08-27,MEDIUM,232
2012-08-17,HIGH,233
2012-11-09,HIGH,234
2011-06-02,CRITICAL,235
2011-08-10,HIGH,236
2009-02-27,LOW,237
2010-06-07,NOT SPECIFIED,238
2012-02-17,LOW,239
2012-02-23,LOW,240
2009-10-15,CRITICAL,241
2009-03-13,CRITICAL,242
2010-03-12,MEDIUM,243
2009-07-07,LOW,244
2012-11-21,LOW,245
2009-03-02,MEDIUM,246
2011-09-22,HIGH,247
2011-07-21,NOT SPECIFIED,248
2009-07-13,NOT SPECIFIED,249
2010-03-29,HIGH,250
2010-02-06,LOW,251
2012-09-12,LOW,252
2010-12-22,NOT SPECIFIED,253
2009-05-30,CRITICAL,254
2012-12-21,CRITICAL,255
2012-02-14,NOT SPECIFIED,256
2010-07-03,NOT SPECIFIED,257
2011-05-16,CRITICAL,258
2010-03-07,MEDIUM,259
2009-04-27,NOT SPECIFIED,260
2012-04-07,HIGH,261
2010-12-31,MEDIUM,262
2010-02-02,NOT SPECIFIED,263
2012-04-15,NOT SPECIFIED,264
2010-05-19,HIGH,265
2009-07-27,NOT SPECIFIED,266
2009-03-31,NOT SPECIFIED,267
2012-06-11,CRITICAL,268
2010-09-01,NOT SPECIFIED,269
2012-08-09,CRITICAL,270
2010-05-07,HIGH,271
2011-08-25,MEDIUM,272
2010-09-21,CRITICAL,273
2012-06-30,LOW,274
2011-01-17,CRITICAL,275
2010-10-10,CRITICAL,276
2011-06-09,HIGH,277
2012-06-26,LOW,278
2010-03-16,MEDIUM,279
2010-11-13,CRITICAL,280
2009-11-14,MEDIUM,281
2011-09-12,HIGH,282
2009-11-23,MEDIUM,283
2010-07-10,CRITICAL,284
2009-03-06,MEDIUM,285
2011-02-17,LOW,286
2011-11-19,HIGH,287
2011-06-03,CRITICAL,288
2010-05-25,HIGH,289
2009-05-30,NOT SPECIFIED,290
2012-08-30,HIGH,291
2011-12-16,CRITICAL,292
2009-12-09,NOT SPECIFIED,293
2012-07-03,CRITICAL,294
2010-12-24,HIGH,295
2011-05-17,LOW,296
2012-01-11,NOT SPECIFIED,297
2011-10-03,NOT SPECIFIED,298
2010-03-05,NOT SPECIFIED,299
2011-11-05,HIGH,300
2009-01-05,HIGH,301
2010-11-25,MEDIUM,302
2011-04-08,HIGH,303
2010-03-31,CRITICAL,304
2012-03-10,NOT SPECIFIED,305
2009-02-20,MEDIUM,306
2009-10-01,CRITICAL,307
2012-11-01,NOT SPECIFIED,308
2011-07-21,HIGH,309
2010-11-23,NOT SPECIFIED,310
2010-02-06,NOT SPECIFIED,311
2011-01-04,MEDIUM,312
2009-08-02,MEDIUM,313
2010-06-05,HIGH,314
2009-08-02,CRITICAL,315
2010-12-28,HIGH,316
2012-10-10,CRITICAL,317
2011-04-02,CRITICAL,318
2009-11-25,CRITICAL,319
2012-04-11,CRITICAL,320
2010-02-16,LOW,321
2010-09-24,HIGH,322
2009-02-21,LOW,323
2012-11-11,CRITICAL,324
2011-10-27,CRITICAL,325
2009-12-16,LOW,326
2010-05-07,CRITICAL,327
2011-01-08,MEDIUM,328
2012-07-09,HIGH,329
2009-03-09,HIGH,330
2011-12-30,HIGH,331
2009-03-29,NOT SPECIFIED,332
2011-02-13,CRITICAL,333
2011-01-28,NOT SPECIFIED,334
2012-09-08,MEDIUM,335
2009-05-18,CRITICAL,336
2012-07-29,LOW,337
2012-04-22,CRITICAL,338
2012-07-16,NOT SPECIFIED,339
2012-09-22,HIGH,340
2010-05-20,CRITICAL,341
2009-12-02,HIGH,342
2010-06-01,MEDIUM,343
2010-09-25,MEDIUM,344
2012-11-19,MEDIUM,345
2010-12-14,LOW,346
2012-10-25,LOW,347
2010-06-17,HIGH,348
2012-06-29,LOW,349
2009-02-01,LOW,350
2011-08-25,CRITICAL,351
2009-06-20,LOW,352
2010-05-03,CRITICAL,353
2009-04-07,LOW,354
2011-09-02,LOW,355
2011-04-14,MEDIUM,356
2011-02-13,NOT SPECIFIED,357
2011-07-30,MEDIUM,358
2010-08-10,MEDIUM,359
2009-04-06,HIGH,360
2010-10-26,HIGH,361
2012-05-26,LOW,362
2012-09-10,LOW,363
2011-03-16,LOW,364
2011-06-18,HIGH,365
2011-01-11,LOW,366
2009-03-05,NOT SPECIFIED,367
2009-12-14,LOW,368
2009-02-02,NOT SPECIFIED,369
2009-08-26,LOW,370
2012-03-06,LOW,371
2009-11-19,HIGH,372
2010-07-24,LOW,373
2010-08-04,MEDIUM,374
2011-03-07,MEDIUM,375
2011-10-20,NOT SPECIFIED,376
2009-08-04,NOT SPECIFIED,377
2010-04-28,LOW,378
2009-04-22,LOW,379
2011-12-04,HIGH,380
2010-08-06,NOT SPECIFIED,381
2011-09-15,LOW,382
2009-10-02,NOT SPECIFIED,383
2009-03-01,CRITICAL,384
2009-06-24,NOT SPECIFIED,385
2011-01-16,MEDIUM,386
2012-01-20,LOW,387
2010-05-21,CRITICAL,388
2012-03-15,NOT SPECIFIED,389
2011-08-07,MEDIUM,390
2011-05-21,HIGH,391
2010-12-22,NOT SPECIFIED,392
2009-07-03,LOW,393
2009-05-27,CRITICAL,394
2012-08-22,HIGH,395
2011-01-26,CRITICAL,396
2012-12-03,CRITICAL,397
2010-09-06,NOT SPECIFIED,398
2011-03-29,LOW,399
2010-08-20,HIGH,400
2010-12-02,LOW,401
2011-03-26,CRITICAL,402
2009-12-19,CRITICAL,403
2011-04-29,LOW,404
2010-10-24,HIGH,405
2010-05-12,HIGH,406
2010-04-11,MEDIUM,407
2009-01-24,LOW,408
2010-11-17,HIGH,409
2010-09-29,HIGH,410
2010-08-03,CRITICAL,411
2011-06-13,MEDIUM,412
2010-05-05,CRITICAL,413
2010-08-30,HIGH,414
2012-10-30,HIGH,415
2009-07-15,HIGH,416
2012-08-07,LOW,417
2009-02-01,CRITICAL,418
2012-07-07,MEDIUM,419
2009-03-27,MEDIUM,420
2010-09-23,NOT SPECIFIED,421
2011-03-28,LOW,422
2009-07-01,LOW,423
2010-12-11,HIGH,424
2009-09-16,HIGH,425
2011-02-04,HIGH,426
2010-09-11,MEDIUM,427
2010-03-02,MEDIUM,428
2009-09-15,CRITICAL,429
2010-12-30,MEDIUM,430
2011-07-25,MEDIUM,431
2009-12-23,LOW,432
2012-10-31,HIGH,433
2009-12-22,CRITICAL,434
2012-04-14,HIGH,435
2011-05-13,MEDIUM,436
2011-12-07,CRITICAL,437
2010-12-04,NOT SPECIFIED,438
2009-11-24,HIGH,439
2011-09-13,NOT SPECIFIED,440
2010-12-03,NOT SPECIFIED,441
2011-12-18,LOW,442
2012-08-09,LOW,443
2010-08-24,CRITICAL,444
2011-05-22,HIGH,445
2012-11-18,CRITICAL,446
2012-06-28,HIGH,447
2009-02-04,LOW,448
2009-12-25,NOT SPECIFIED,449
2011-09-26,HIGH,450
2011-09-22,MEDIUM,451
2009-02-15,CRITICAL,452
2009-10-11,MEDIUM,453
2011-03-10,MEDIUM,454
2012-08-11,HIGH,455
2009-12-25,HIGH,456
2012-06-29,LOW,457
2009-01-18,NOT SPECIFIED,458
2012-05-20,HIGH,459
2009-03-19,HIGH,460
2009-09-05,NOT SPECIFIED,461
2009-11-03,NOT SPECIFIED,462
2011-03-26,HIGH,463
2012-02-10,HIGH,464
2009-05-06,CRITICAL,465
2010-11-23,NOT SPECIFIED,466
2011-02-10,NOT SPECIFIED,467
2010-03-29,NOT SPECIFIED,468
2012-09-05,LOW,469
2011-01-31,CRITICAL,470
2009-08-07,CRITICAL,471
2012-05-05,HIGH,472
2009-11-10,HIGH,473
2010-06-14,NOT SPECIFIED,474
2012-01-07,LOW,475
2010-12-19,HIGH,476
2012-11-29,CRITICAL,477
2009-04-18,MEDIUM,478
2009-09-24,HIGH,479
2011-03-11,MEDIUM,480
2010-12-13,HIGH,481
2012-01-21,MEDIUM,482
2012-01-06,LOW,483
2009-12-10,NOT SPECIFIED,484
2010-02-12,CRITICAL,485
2009-06-26,CRITICAL,486
2011-02-08,CRITICAL,487
2011-02-20,CRITICAL,488
2012-09-10,HIGH,489
2010-02-12,CRITICAL,490
2010-02-01,LOW,491
2011-09-26,NOT SPECIFIED,492
2010-08-12,LOW,493
2010-08-20,HIGH,494
2012-05-17,MEDIUM,495
2010-07-09,LOW,496
2011-10-22,NOT SPECIFIED,497
2010-07-15,MEDIUM,498
2011-03-04,NOT SPECIFIED,499
2009-01-05,HIGH,500
2009-05-12,MEDIUM,501
2010-02-22,MEDIUM,502
2011-06-23,CRITICAL,503
2009-03-20,MEDIUM,504
2011-01-22,LOW,505
2011-07-28,LOW,506
2010-04-03,HIGH,507
2010-11-21,NOT SPECIFIED,508
2010-09-11,MEDIUM,509
2011-08-31,NOT SPECIFIED,510
2009-06-07,HIGH,511
2009-03-22,HIGH,512
2010-09-30,CRITICAL,513
2010-09-15,LOW,514
2010-01-10,NOT SPECIFIED,515
2010-06-26,CRITICAL,516
2011-07-23,LOW,517
2010-10-10,CRITICAL,518
2009-02-05,LOW,519
2011-11-09,LOW,520
2009-07-26,LOW,521
2009-04-18,MEDIUM,522
2012-02-24,LOW,523
2012-07-28,LOW,524
2011-12-14,LOW,525
2010-06-13,LOW,526
2010-10-01,NOT SPECIFIED,527
2012-04-27,HIGH,528
2011-09-24,CRITICAL,529
2012-06-30,HIGH,530
2011-11-10,CRITICAL,531
2009-11-05,NOT SPECIFIED,532
2009-02-19,NOT SPECIFIED,533
2010-03-02,CRITICAL,534
2009-06-28,CRITICAL,535
2009-01-26,HIGH,536
2011-08-02,CRITICAL,537
2010-07-04,HIGH,538
2012-10-01,NOT SPECIFIED,539
2011-07-14,NOT SPECIFIED,540
2010-07-25,MEDIUM,541
2009-07-06,LOW,542
2012-12-11,NOT SPECIFIED,543
2011-12-01,MEDIUM,544
2009-04-04,CRITICAL,545
2010-06-25,MEDIUM,546
2011-02-16,NOT SPECIFIED,547
2010-08-26,LOW,548
2010-11-04,HIGH,549
2009-04-28,LOW,550
2009-08-06,LOW,551
2009-03-18,MEDIUM,552
2009-01-05,NOT SPECIFIED,553
2012-10-08,LOW,554
2010-11-05,NOT SPECIFIED,555
2012-12-10,NOT SPECIFIED,556
2009-02-05,CRITICAL,557
2011-09-28,MEDIUM,558
2012-06-05,LOW,559
2010-09-26,MEDIUM,560
2009-01-21,MEDIUM,561
2012-10-05,CRITICAL,562
2009-03-25,CRITICAL,563
2012-09-20,NOT SPECIFIED,564
2010-02-05,NOT SPECIFIED,565
2010-03-19,HIGH,566
2011-11-19,LOW,567
2009-04-29,MEDIUM,568
2011-04-03,LOW,569
2011-04-16,MEDIUM,570
2010-06-15,LOW,571
2009-08-09,HIGH,572
2009-09-20,MEDIUM,573
2012-03-20,CRITICAL,574
2012-03-23,NOT SPECIFIED,575
2010-07-19,LOW,576
2012-11-21,MEDIUM,577
2009-03-27,HIGH,578
2010-05-14,NOT SPECIFIED,579
2010-10-17,CRITICAL,580
2010-08-24,NOT SPECIFIED,581
2011-08-10,HIGH,582
2009-09-24,MEDIUM,583
2012-10-30,HIGH,584
2010-05-07,MEDIUM,585
2011-04-09,LOW,586
2010-06-03,HIGH,587
2010-05-22,MEDIUM,588
2012-10-25,MEDIUM,589
2010-01-05,NOT SPECIFIED,590
2011-12-30,MEDIUM,591
2011-02-14,LOW,592
2010-05-28,MEDIUM,593
2010-06-28,MEDIUM,594
2011-03-01,LOW,595
2012-02-27,NOT SPECIFIED,596
2012-03-19,NOT SPECIFIED,597
2012-03-04,CRITICAL,598
2012-03-09,CRITICAL,599
2010-01-05,HIGH,600
2012-04-21,MEDIUM,601
2009-06-17,LOW,602
2012-06-13,MEDIUM,603
2012-07-16,MEDIUM,604
2009-05-15,NOT SPECIFIED,605
2011-01-02,CRITICAL,606
2012-01-05,LOW,607
2009-01-23,NOT SPECIFIED,608
2011-12-24,NOT SPECIFIED,609
2012-11-20,CRITICAL,610
2012-12-29,MEDIUM,611
2010-01-31,MEDIUM,612
2009-02-04,MEDIUM,613
2011-12-24,MEDIUM,614
2010-02-27,LOW,615
2012-06-25,CRITICAL,616
2012-03-13,HIGH,617
2010-12-28,MEDIUM,618
2012-07-03,HIGH,619
2012-04-05,NOT SPECIFIED,620
2009-07-24,LOW,621
2011-07-18,MEDIUM,622
2010-04-15,LOW,623
2010-06-15,LOW,624
2011-03-15,HIGH,625
2009-12-06,HIGH,626
2010-07-22,MEDIUM,627
2011-10-08,CRITICAL,628
2010-09-07,LOW,629
2012-01-22,NOT SPECIFIED,630
2012-04-05,HIGH,631
2009-12-12,MEDIUM,632
2012-03-23,MEDIUM,633
2011-09-13,CRITICAL,634
2012-09-05,CRITICAL,635
2010-08-21,MEDIUM,636
2012-10-26,HIGH,637
2010-10-06,LOW,638
2010-03-13,CRITICAL,639
2011-05-25,LOW,640
2011-05-09,NOT SPECIFIED,641
2010-01-18,NOT SPECIFIED,642
2009-12-12,CRITICAL,643
2010-01-22,CRITICAL,644
2012-12-09,NOT SPECIFIED,645
2009-08-28,MEDIUM,646
2012-11-04,HIGH,647
2010-07-20,LOW,648
2011-11-15,CRITICAL,649
2009-03-22,MEDIUM,650
2009-08-06,CRITICAL,651
2012-03-23,HIGH,652
2011-04-13,LOW,653
2011-09-06,CRITICAL,654
2012-05-23,MEDIUM,655
2012-03-04,LOW,656
2009-11-03,NOT SPECIFIED,657
2009-08-12,HIGH,658
2010-07-07,HIGH,659
2010-11-05,HIGH,660
2012-05-05,NOT SPECIFIED,661
2010-06-23,MEDIUM,662
2012-07-28,MEDIUM,663
2009-03-07,CRITICAL,664
2011-01-24,NOT SPECIFIED,665
2009-08-15,MEDIUM,666
2009-10-02,CRITICAL,667
2012-01-01,LOW,668
2009-11-27,HIGH,669
2010-08-04,LOW,670
2010-11-08,NOT SPECIFIED,671
2012-12-04,HIGH,672
2011-03-10,LOW,673
2009-07-16,CRITICAL,674
2009-02-22,NOT SPECIFIED,675
2012-09-21,CRITICAL,676
2012-11-10,NOT SPECIFIED,677
2010-04-12,LOW,678
2011-08-25,HIGH,679
2010-11-20,MEDIUM,680
2010-06-15,CRITICAL,681
2012-04-14,HIGH,682
2012-03-18,CRITICAL,683
2009-05-05,LOW,684
2012-04-18,NOT SPECIFIED,685
2011-01-09,MEDIUM,686
2009-03-06,NOT SPECIFIED,687
2010-06-07,CRITICAL,688
2012-01-16,MEDIUM,689
2010-02-02,CRITICAL,690
2012-08-18,MEDIUM,691
2012-10-06,HIGH,692
2011-03-24,MEDIUM,693
2012-10-02,CRITICAL,694
2012-08-14,MEDIUM,695
2011-02-26,CRITICAL,696
2012-11-10,LOW,697
2012-09-13,MEDIUM,698
2012-05-10,NOT SPECIFIED,699
2010-12-25,CRITICAL,700
2012-03-24,NOT SPECIFIED,701
2009-05-20,MEDIUM,702
2009-06-21,CRITICAL,703
2011-08-07,CRITICAL,704
2010-03-26,MEDIUM,705
2012-12-15,NOT SPECIFIED,706
2009-12-07,MEDIUM,707
2009-12-09,CRITICAL,708
2010-12-21,CRITICAL,709
2012-08-10,LOW,710
2010-11-12,HIGH,711
2012-05-05,CRITICAL,712
2010-07-21,LOW,713
2012-05-04,CRITICAL,714
2010-08-24,CRITICAL,715
2011-03-10,MEDIUM,716
2011-11-12,HIGH,717
2012-03-22,MEDIUM,718
2009-11-16,LOW,719
2009-09-05,LOW,720
2012-07-19,HIGH,721
2012-08-20,MEDIUM,722
2010-08-23,LOW,723
2012-12-25,MEDIUM,724
2011-06-16,NOT SPECIFIED,725
2010-06-23,HIGH,726
2010-10-29,NOT SPECIFIED,727
2009-07-15,CRITICAL,728
2009-04-26,NOT SPECIFIED,729
2011-09-04,MEDIUM,730
2012-09-24,CRITICAL,731
2011-10-11,HIGH,732
2012-02-17,HIGH,733
2009-06-18,MEDIUM,734
2011-05-26,NOT SPECIFIED,735
2010-09-20,LOW,736
2011-05-28,MEDIUM,737
2012-07-28,MEDIUM,738
2012-05-05,NOT SPECIFIED,739
2010-06-17,HIGH,740
2010-07-19,CRITICAL,741
2011-07-04,NOT SPECIFIED,742
2012-06-12,MEDIUM,743
2012-04-13,HIGH,744
2012-10-25,CRITICAL,745
2009-08-01,NOT SPECIFIED,746
2012-04-11,LOW,747
2011-09-20,MEDIUM,748
2012-11-13,CRITICAL,749
2012-06-16,CRITICAL,750
2010-02-26,LOW,751
2009-08-11,HIGH,752
2012-11-22,LOW,753
2012-07-21,NOT SPECIFIED,754
2009-04-10,NOT SPECIFIED,755
2011-11-18,LOW,756
2010-01-14,NOT SPECIFIED,757
2011-02-24,MEDIUM,758
2009-02-13,CRITICAL,759
2010-06-15,HIGH,760
2011-10-29,HIGH,761
2010-10-22,CRITICAL,762
2011-04-08,MEDIUM,763
2012-07-09,CRITICAL,764
2012-06-23,HIGH,765
2010-07-16,NOT SPECIFIED,766
2009-07-26,LOW,767
2009-08-23,HIGH,768
2011-08-01,LOW,769
2012-05-29,CRITICAL,770
2010-05-06,LOW,771
2009-10-18,LOW,772
2010-07-15,MEDIUM,773
2009-07-12,LOW,774
2012-05-10,MEDIUM,775
2011-07-24,HIGH,776
2012-08-30,MEDIUM,777
2011-11-19,LOW,778
2009-09-16,LOW,779
2011-09-15,HIGH,780
2009-01-22,CRITICAL,781
2009-11-03,HIGH,782
2011-05-28,LOW,783
2012-06-11,HIGH,784
2010-01-20,HIGH,785
2010-05-02,NOT SPECIFIED,786
2012-07-11,CRITICAL,787
2011-07-03,CRITICAL,788
2012-06-17,NOT SPECIFIED,789
2010-12-12,MEDIUM,790
2012-04-26,MEDIUM,791
2009-08-05,LOW,792
2010-09-06,LOW,793
2012-09-15,HIGH,794
2011-07-27,MEDIUM,795
2009-06-25,NOT SPECIFIED,796
2009-08-27,MEDIUM,797
2011-01-10,CRITICAL,798
2012-03-31,LOW,799
2011-04-22,CRITICAL,800
2009-08-28,NOT SPECIFIED,801
2009-08-05,LOW,802
2012-09-05,LOW,803
2011-10-09,MEDIUM,804
2010-08-22,MEDIUM,805
2012-08-04,NOT SPECIFIED,806
2010-12-14,MEDIUM,807
2009-12-24,LOW,808
2010-10-12,MEDIUM,809
2009-01-15,NOT SPECIFIED,810
2011-04-05,NOT SPECIFIED,811
2012-01-20,LOW,812
2011-09-24,NOT SPECIFIED,813
2011-10-09,CRITICAL,814
2011-05-04,NOT SPECIFIED,815
2011-10-09,LOW,816
2010-04-10,NOT SPECIFIED,817
2012-08-19,NOT SPECIFIED,818
2012-07-01,NOT SPECIFIED,819
2009-11-20,MEDIUM,820
2012-09-16,MEDIUM,821
2009-09-17,NOT SPECIFIED,822
2010-07-21,CRITICAL,823
2010-11-09,LOW,824
2011-01-10,CRITICAL,825
2010-12-24,NOT SPECIFIED,826
2012-05-30,NOT SPECIFIED,827
2009-02-12,CRITICAL,828
2009-09-04,NOT SPECIFIED,829
2010-08-26,LOW,830
2009-07-21,MEDIUM,831
2011-09-12,HIGH,832
2009-03-18,CRITICAL,833
2010-01-27,LOW,834
2011-09-11,CRITICAL,835
2011-02-03,NOT SPECIFIED,836
2011-02-15,LOW,837
2012-03-01,LOW,838
2009-08-10,CRITICAL,839
2010-12-13,NOT SPECIFIED,840
2009-10-15,NOT SPECIFIED,841
2009-10-07,NOT SPECIFIED,842
2010-09-17,MEDIUM,843
2009-07-03,HIGH,844
2010-10-09,HIGH,845
2009-09-23,CRITICAL,846
2011-10-02,MEDIUM,847
2011-01-19,HIGH,848
2011-01-22,MEDIUM,849
2009-03-23,NOT SPECIFIED,850
2011-01-07,CRITICAL,851
2011-06-22,MEDIUM,852
2011-08-03,CRITICAL,853
2011-11-07,CRITICAL,854
2010-08-26,LOW,855
2010-03-17,CRITICAL,856
2009-07-07,CRITICAL,857
2009-03-27,NOT SPECIFIED,858
2010-02-17,HIGH,859
2011-02-01,CRITICAL,860
2012-03-17,HIGH,861
2009-01-10,CRITICAL,862
2010-04-16,CRITICAL,863
2010-03-07,MEDIUM,864
2012-10-16,CRITICAL,865
2009-09-11,CRITICAL,866
2010-10-12,LOW,867
2011-06-19,CRITICAL,868
2012-11-07,NOT SPECIFIED,869
2011-11-12,MEDIUM,870
2011-05-06,HIGH,871
2011-09-08,CRITICAL,872
2011-03-21,LOW,873
2010-05-11,MEDIUM,874
2012-02-06,LOW,875
2010-12-28,CRITICAL,876
2011-09-08,CRITICAL,877
2012-05-31,CRITICAL,878
2009-09-12,CRITICAL,879
2012-06-17,HIGH,880
2010-12-29,CRITICAL,881
